team,rounds
1994 Utah Jazz,2
1993 Seattle SuperSonics,2
1992 Utah Jazz,2
1991 Portland Trail Blazers,2
1990 Phoenix Suns,2
1989 Phoenix Suns,2
1988 Dallas Mavericks,2
1987 Seattle SuperSonics,2
1986 Los Angeles Lakers,2
1985 Denver Nuggets,2
1984 Phoenix Suns,2
2025 Cleveland Cavaliers,1
2025 Boston Celtics,1
2024 New York Knicks,1
2024 Cleveland Cavaliers,1
2023 New York Knicks,1
2023 Philadelphia 76ers,1
2022 Milwaukee Bucks,1
2022 Philadelphia 76ers,1
2021 Brooklyn Nets,1
2021 Philadelphia 76ers,1
2020 Toronto Raptors,1
2020 Milwaukee Bucks,1
2019 Boston Celtics,1
2019 Philadelphia 76ers,1
2018 Philadelphia 76ers,1
2018 Toronto Raptors,1
2017 Toronto Raptors,1
2017 Washington Wizards,1
2016 Atlanta Hawks,1
2016 Miami Heat,1
2015 Chicago Bulls,1
2015 Washington Wizards,1
2014 Washington Wizards,1
2014 Brooklyn Nets,1
2013 Chicago Bulls,1
2013 New York Knicks,1
2012 Indiana Pacers,1
2012 Philadelphia 76ers,1
2011 Atlanta Hawks,1
2011 Boston Celtics,1
2010 Cleveland Cavaliers,1
2010 Atlanta Hawks,1
2009 Atlanta Hawks,1
2009 Boston Celtics,1
2008 Cleveland Cavaliers,1
2008 Orlando Magic,1
2007 New Jersey Nets,1
2007 Chicago Bulls,1
2006 Cleveland Cavaliers,1
2006 New Jersey Nets,1
2005 Indiana Pacers,1
2005 Washington Wizards,1
2004 New Jersey Nets,1
2004 Miami Heat,1
2003 Philadelphia 76ers,1
2003 Boston Celtics,1
2002 Detroit Pistons,1
2002 Charlotte Hornets,1
2001 Charlotte Hornets,1
2001 Toronto Raptors,1
2000 Philadelphia 76ers,1
2000 Miami Heat,1
1999 Philadelphia 76ers,1
1999 Atlanta Hawks,1
1998 Charlotte Hornets,1
1998 New York Knicks,1
1997 Atlanta Hawks,1
1997 New York Knicks,1
1996 New York Knicks,1
1996 Atlanta Hawks,1
1995 New York Knicks,1
1995 Chicago Bulls,1
1994 Atlanta Hawks,1
1994 Chicago Bulls,1
1993 Cleveland Cavaliers,1
1993 Charlotte Hornets,1
1992 New York Knicks,1
1992 Boston Celtics,1
1991 Philadelphia 76ers,1
1991 Boston Celtics,1
1990 Philadelphia 76ers,1
1990 New York Knicks,1
1989 New York Knicks,1
1989 Milwaukee Bucks,1
1988 Atlanta Hawks,1
1988 Chicago Bulls,1
1987 Milwaukee Bucks,1
1987 Atlanta Hawks,1
1986 Atlanta Hawks,1
1986 Philadelphia 76ers,1
1985 Detroit Pistons,1
1985 Milwaukee Bucks,1
1984 New York Knicks,1
1984 New Jersey Nets,1
2025 Denver Nuggets,1
2025 Golden State Warriors,1
2024 Oklahoma City Thunder,1
2024 Denver Nuggets,1
2023 Phoenix Suns,1
2023 Golden State Warriors,1
2022 Phoenix Suns,1
2022 Memphis Grizzlies,1
2021 Denver Nuggets,1
2021 Utah Jazz,1
2020 Los Angeles Clippers,1
2020 Houston Rockets,1
2019 Houston Rockets,1
2019 Denver Nuggets,1
2018 New Orleans Pelicans,1
2018 Utah Jazz,1
2017 Utah Jazz,1
2017 Houston Rockets,1
2016 Portland Trail Blazers,1
2016 San Antonio Spurs,1
2015 Los Angeles Clippers,1
2015 Memphis Grizzlies,1
2014 Portland Trail Blazers,1
2014 Los Angeles Clippers,1
2013 Oklahoma City Thunder,1
2013 Golden State Warriors,1
2012 Los Angeles Clippers,1
2012 Los Angeles Lakers,1
2011 Los Angeles Lakers,1
2011 Memphis Grizzlies,1
2010 Utah Jazz,1
2010 San Antonio Spurs,1
2009 Houston Rockets,1
2009 Dallas Mavericks,1
2008 Utah Jazz,1
2008 New Orleans Hornets,1
2007 Phoenix Suns,1
2007 Golden State Warriors,1
2006 San Antonio Spurs,1
2006 Los Angeles Clippers,1
2005 Dallas Mavericks,1
2005 Seattle SuperSonics,1
2004 San Antonio Spurs,1
2004 Sacramento Kings,1
2003 Sacramento Kings,1
2003 Los Angeles Lakers,1
2002 San Antonio Spurs,1
2002 Dallas Mavericks,1
2001 Sacramento Kings,1
2001 Dallas Mavericks,1
2000 Phoenix Suns,1
2000 Utah Jazz,1
1999 Utah Jazz,1
1999 Los Angeles Lakers,1
1998 Seattle SuperSonics,1
1998 San Antonio Spurs,1
1997 Seattle SuperSonics,1
1997 Los Angeles Lakers,1
1996 Houston Rockets,1
1996 San Antonio Spurs,1
1995 Phoenix Suns,1
1995 Los Angeles Lakers,1
1994 Phoenix Suns,1
1994 Denver Nuggets,1
1993 San Antonio Spurs,1
1993 Houston Rockets,1
1992 Phoenix Suns,1
1992 Seattle SuperSonics,1
1991 Golden State Warriors,1
1991 Utah Jazz,1
1990 Los Angeles Lakers,1
1990 San Antonio Spurs,1
1989 Seattle SuperSonics,1
1989 Golden State Warriors,1
1988 Denver Nuggets,1
1988 Utah Jazz,1
1987 Golden State Warriors,1
1987 Houston Rockets,1
1986 Denver Nuggets,1
1986 Dallas Mavericks,1
1985 Utah Jazz,1
1985 Portland Trail Blazers,1
1984 Dallas Mavericks,1
1984 Utah Jazz,1
2025 Miami Heat,0
2025 Milwaukee Bucks,0
2025 Detroit Pistons,0
2025 Orlando Magic,0
2024 Miami Heat,0
2024 Orlando Magic,0
2024 Milwaukee Bucks,0
2024 Philadelphia 76ers,0
2023 Milwaukee Bucks,0
2023 Cleveland Cavaliers,0
2023 Brooklyn Nets,0
2023 Atlanta Hawks,0
2022 Chicago Bulls,0
2022 Brooklyn Nets,0
2022 Toronto Raptors,0
2022 Atlanta Hawks,0
2021 Miami Heat,0
2021 Boston Celtics,0
2021 Washington Wizards,0
2021 New York Knicks,0
2020 Orlando Magic,0
2020 Brooklyn Nets,0
2020 Philadelphia 76ers,0
2020 Indiana Pacers,0
2019 Detroit Pistons,0
2019 Orlando Magic,0
2019 Brooklyn Nets,0
2019 Indiana Pacers,0
2018 Washington Wizards,0
2018 Milwaukee Bucks,0
2018 Miami Heat,0
2018 Indiana Pacers,0
2017 Chicago Bulls,0
2017 Indiana Pacers,0
2017 Milwaukee Bucks,0
2017 Atlanta Hawks,0
2016 Detroit Pistons,0
2016 Indiana Pacers,0
2016 Charlotte Hornets,0
2016 Boston Celtics,0
2015 Brooklyn Nets,0
2015 Boston Celtics,0
2015 Milwaukee Bucks,0
2015 Toronto Raptors,0
2014 Atlanta Hawks,0
2014 Charlotte Bobcats,0
2014 Toronto Raptors,0
2014 Chicago Bulls,0
2013 Milwaukee Bucks,0
2013 Boston Celtics,0
2013 Atlanta Hawks,0
2013 Brooklyn Nets,0
2012 Chicago Bulls,0
2012 New York Knicks,0
2012 Orlando Magic,0
2012 Atlanta Hawks,0
2011 Indiana Pacers,0
2011 Philadelphia 76ers,0
2011 New York Knicks,0
2011 Orlando Magic,0
2010 Chicago Bulls,0
2010 Charlotte Bobcats,0
2010 Milwaukee Bucks,0
2010 Miami Heat,0
2009 Detroit Pistons,0
2009 Chicago Bulls,0
2009 Philadelphia 76ers,0
2009 Miami Heat,0
2008 Atlanta Hawks,0
2008 Philadelphia 76ers,0
2008 Toronto Raptors,0
2008 Washington Wizards,0
2007 Miami Heat,0
2007 Washington Wizards,0
2007 Orlando Magic,0
2007 Toronto Raptors,0
2006 Washington Wizards,0
2006 Milwaukee Bucks,0
2006 Chicago Bulls,0
2006 Indiana Pacers,0
2005 Philadelphia 76ers,0
2005 Boston Celtics,0
2005 New Jersey Nets,0
2005 Chicago Bulls,0
2004 Milwaukee Bucks,0
2004 Boston Celtics,0
2004 New Orleans Hornets,0
2004 New York Knicks,0
2003 Indiana Pacers,0
2003 Orlando Magic,0
2003 Milwaukee Bucks,0
2003 New Orleans Hornets,0
2002 Philadelphia 76ers,0
2002 Orlando Magic,0
2002 Toronto Raptors,0
2002 Indiana Pacers,0
2001 Miami Heat,0
2001 Orlando Magic,0
2001 Indiana Pacers,0
2001 New York Knicks,0
2000 Milwaukee Bucks,0
2000 Detroit Pistons,0
2000 Toronto Raptors,0
2000 Charlotte Hornets,0
1999 Detroit Pistons,0
1999 Milwaukee Bucks,0
1999 Miami Heat,0
1999 Orlando Magic,0
1998 Atlanta Hawks,0
1998 New Jersey Nets,0
1998 Cleveland Cavaliers,0
1998 Miami Heat,0
1997 Detroit Pistons,0
1997 Washington Bullets,0
1997 Orlando Magic,0
1997 Charlotte Hornets,0
1996 Indiana Pacers,0
1996 Miami Heat,0
1996 Cleveland Cavaliers,0
1996 Detroit Pistons,0
1995 Charlotte Hornets,0
1995 Atlanta Hawks,0
1995 Cleveland Cavaliers,0
1995 Boston Celtics,0
1994 Miami Heat,0
1994 Cleveland Cavaliers,0
1994 Orlando Magic,0
1994 New Jersey Nets,0
1993 Boston Celtics,0
1993 Atlanta Hawks,0
1993 New Jersey Nets,0
1993 Indiana Pacers,0
1992 Indiana Pacers,0
1992 Miami Heat,0
1992 New Jersey Nets,0
1992 Detroit Pistons,0
1991 Indiana Pacers,0
1991 New York Knicks,0
1991 Atlanta Hawks,0
1991 Milwaukee Bucks,0
1990 Milwaukee Bucks,0
1990 Indiana Pacers,0
1990 Boston Celtics,0
1990 Cleveland Cavaliers,0
1989 Cleveland Cavaliers,0
1989 Boston Celtics,0
1989 Atlanta Hawks,0
1989 Philadelphia 76ers,0
1988 Milwaukee Bucks,0
1988 New York Knicks,0
1988 Cleveland Cavaliers,0
1988 Washington Bullets,0
1987 Indiana Pacers,0
1987 Chicago Bulls,0
1987 Washington Bullets,0
1987 Philadelphia 76ers,0
1986 Detroit Pistons,0
1986 Chicago Bulls,0
1986 New Jersey Nets,0
1986 Washington Bullets,0
1985 Cleveland Cavaliers,0
1985 New Jersey Nets,0
1985 Chicago Bulls,0
1985 Washington Bullets,0
1984 Washington Bullets,0
1984 Atlanta Hawks,0
1984 Philadelphia 76ers,0
1984 Detroit Pistons,0
2025 Memphis Grizzlies,0
2025 Los Angeles Clippers,0
2025 Los Angeles Lakers,0
2025 Houston Rockets,0
2024 New Orleans Pelicans,0
2024 Los Angeles Clippers,0
2024 Phoenix Suns,0
2024 Los Angeles Lakers,0
2023 Minnesota Timberwolves,0
2023 Los Angeles Clippers,0
2023 Sacramento Kings,0
2023 Memphis Grizzlies,0
2022 Minnesota Timberwolves,0
2022 Denver Nuggets,0
2022 Utah Jazz,0
2022 New Orleans Pelicans,0
2021 Dallas Mavericks,0
2021 Portland Trail Blazers,0
2021 Memphis Grizzlies,0
2021 Los Angeles Lakers,0
2020 Portland Trail Blazers,0
2020 Dallas Mavericks,0
2020 Utah Jazz,0
2020 Oklahoma City Thunder,0
2019 Los Angeles Clippers,0
2019 San Antonio Spurs,0
2019 Oklahoma City Thunder,0
2019 Utah Jazz,0
2018 Minnesota Timberwolves,0
2018 San Antonio Spurs,0
2018 Portland Trail Blazers,0
2018 Oklahoma City Thunder,0
2017 Portland Trail Blazers,0
2017 Memphis Grizzlies,0
2017 Oklahoma City Thunder,0
2017 Los Angeles Clippers,0
2016 Houston Rockets,0
2016 Memphis Grizzlies,0
2016 Dallas Mavericks,0
2016 Los Angeles Clippers,0
2015 New Orleans Pelicans,0
2015 Dallas Mavericks,0
2015 San Antonio Spurs,0
2015 Portland Trail Blazers,0
2014 Dallas Mavericks,0
2014 Memphis Grizzlies,0
2014 Golden State Warriors,0
2014 Houston Rockets,0
2013 Houston Rockets,0
2013 Los Angeles Lakers,0
2013 Denver Nuggets,0
2013 Los Angeles Clippers,0
2012 Utah Jazz,0
2012 Dallas Mavericks,0
2012 Denver Nuggets,0
2012 Memphis Grizzlies,0
2011 San Antonio Spurs,0
2011 New Orleans Hornets,0
2011 Portland Trail Blazers,0
2011 Denver Nuggets,0
2010 Oklahoma City Thunder,0
2010 Dallas Mavericks,0
2010 Portland Trail Blazers,0
2010 Denver Nuggets,0
2009 Utah Jazz,0
2009 New Orleans Hornets,0
2009 San Antonio Spurs,0
2009 Portland Trail Blazers,0
2008 Denver Nuggets,0
2008 Dallas Mavericks,0
2008 Phoenix Suns,0
2008 Houston Rockets,0
2007 Dallas Mavericks,0
2007 Los Angeles Lakers,0
2007 Denver Nuggets,0
2007 Houston Rockets,0
2006 Memphis Grizzlies,0
2006 Denver Nuggets,0
2006 Los Angeles Lakers,0
2006 Sacramento Kings,0
2005 Houston Rockets,0
2005 Memphis Grizzlies,0
2005 Denver Nuggets,0
2005 Sacramento Kings,0
2004 Houston Rockets,0
2004 Denver Nuggets,0
2004 Dallas Mavericks,0
2004 Memphis Grizzlies,0
2003 Portland Trail Blazers,0
2003 Minnesota Timberwolves,0
2003 Utah Jazz,0
2003 Phoenix Suns,0
2002 Minnesota Timberwolves,0
2002 Portland Trail Blazers,0
2002 Utah Jazz,0
2002 Seattle SuperSonics,0
2001 Utah Jazz,0
2001 Portland Trail Blazers,0
2001 Phoenix Suns,0
2001 Minnesota Timberwolves,0
2000 Sacramento Kings,0
2000 San Antonio Spurs,0
2000 Minnesota Timberwolves,0
2000 Seattle SuperSonics,0
1999 Houston Rockets,0
1999 Phoenix Suns,0
1999 Minnesota Timberwolves,0
1999 Sacramento Kings,0
1998 Portland Trail Blazers,0
1998 Phoenix Suns,0
1998 Minnesota Timberwolves,0
1998 Houston Rockets,0
1997 Minnesota Timberwolves,0
1997 Portland Trail Blazers,0
1997 Phoenix Suns,0
1997 Los Angeles Clippers,0
1996 Los Angeles Lakers,0
1996 Phoenix Suns,0
1996 Sacramento Kings,0
1996 Portland Trail Blazers,0
1995 Utah Jazz,0
1995 Seattle SuperSonics,0
1995 Portland Trail Blazers,0
1995 Denver Nuggets,0
1994 Seattle SuperSonics,0
1994 Portland Trail Blazers,0
1994 Golden State Warriors,0
1994 San Antonio Spurs,0
1993 Los Angeles Clippers,0
1993 Los Angeles Lakers,0
1993 Portland Trail Blazers,0
1993 Utah Jazz,0
1992 San Antonio Spurs,0
1992 Los Angeles Lakers,0
1992 Golden State Warriors,0
1992 Los Angeles Clippers,0
1991 San Antonio Spurs,0
1991 Houston Rockets,0
1991 Seattle SuperSonics,0
1991 Phoenix Suns,0
1990 Houston Rockets,0
1990 Utah Jazz,0
1990 Dallas Mavericks,0
1990 Denver Nuggets,0
1989 Utah Jazz,0
1989 Portland Trail Blazers,0
1989 Denver Nuggets,0
1989 Houston Rockets,0
1988 Houston Rockets,0
1988 Seattle SuperSonics,0
1988 San Antonio Spurs,0
1988 Portland Trail Blazers,0
1987 Utah Jazz,0
1987 Portland Trail Blazers,0
1987 Denver Nuggets,0
1987 Dallas Mavericks,0
1986 Utah Jazz,0
1986 Portland Trail Blazers,0
1986 Sacramento Kings,0
1986 San Antonio Spurs,0
1985 San Antonio Spurs,0
1985 Phoenix Suns,0
1985 Dallas Mavericks,0
1985 Houston Rockets,0
1984 Seattle SuperSonics,0
1984 Kansas City Kings,0
1984 Portland Trail Blazers,0
1984 Denver Nuggets,0
